province,year,carbon_intensity,digital_finance,gdp_per_capita,industrial_structure,urbanization,government_intervention,innovation,energy_structure,gdp_nominal,gdp_index_previous_year_100,gdp_real,population,urban_population,secondary_industry,fiscal_expenditure,carbon_emissions_mt,patent_grants,coal_related_tce,total_energy_tce
上海,2018,0.4545786405483954,377.733749406315,13.463415244069989,0.27431948338721335,0.8913131313131313,0.2211209692579384,9.967963571720492,0.12457243731912727,37769.1,106.9,33321.95272907322,2475.0,2206.0,10360.8,8351.54,151.47447972,21331,1164.750354,9349.9844674
上海,2019,0.4502872365263034,410.2814252765977,14.27699949657591,0.25638151943779014,0.8923821039903265,0.2032563641243303,10.031704850336881,0.12284590137711289,40241.2,106.3,35421.23575100483,2481.0,2214.0,10317.1,8179.28,159.4973036066667,22735,1196.2013450000004,9737.413553
上海,2020,0.4279776775614569,431.9275675526586,14.52156771142481,0.2489357968844267,0.8930868167202572,0.19474400236516287,10.094479743833253,0.12436497100836516,41603.9,102.0,36129.66046602493,2488.0,2222.0,10356.7,8102.11,154.62688177333334,24208,1128.1320950000002,9071.1402564
上海,2021,0.41070056943680666,458.9703890885613,15.778602220397389,0.24278677586199568,0.8931297709923665,0.17915358036864049,10.400041823264546,0.12036999274510576,47059.4,108.7,39272.9409265691,2489.0,2223.0,11425.4,8430.86,161.29419202,32860,1123.5935570000001,9334.4988346
上海,2022,0.5500582317692914,460.6908552828697,15.899590629665552,0.23431458292605128,0.8933333333333333,0.19329347971478253,10.513198774854038,0.13207777879532503,48594.5,100.2,39351.48680842224,2475.0,2211.0,11386.4,9393.0,216.45609251333332,36797,1135.8028900000002,8599.5002366
江苏,2011,1.2338781604161844,62.08,6.193381528106693,0.5077772970144598,0.6200922348248785,0.12521196631079,9.309642573050045,0.41107350694508416,49689.5,110.9,49689.5,8023.0,4975.0,25231.2,6221.72,613.10788852,11043,7813.7777735,19008.2251507
江苏,2012,1.1322373372642902,122.03,6.743575000000001,0.49673609179924766,0.6300492610837438,0.128574381979714,9.695417325719395,0.37801459279738253,54658.4,110.2,54757.829000000005,8120.0,5116.0,27150.8,7027.67,619.9885850133334,16242,7450.097011500001,19708.4905013
江苏,2013,1.0628399926938945,180.98,7.332682911743165,0.48176685640242495,0.6439208984375,0.12888925249400052,9.72859830755947,0.32333083819323044,60505.2,109.7,60069.338413000005,8192.0,5275.0,29149.4,7798.47,638.440952,16790,7121.800988999999,22026.3586016
江苏,2014,0.952047679454772,204.16,7.877708189411666,0.4688146910006749,0.6570462504528438,0.12792794017059173,9.886951583896028,0.3052867073687388,66228.3,108.6,65235.301516518004,8281.0,5441.0,31048.8,8472.45,621.0711742733333,19671,7161.223241,23457.369967799998
江苏,2015,0.8959572354707964,244.01,8.512363457056168,0.46429684456564085,0.6749248346361997,0.1347818465134398,10.491718563146513,0.3194563030026815,71876.0,108.5,70780.30214542203,8315.0,5612.0,33371.8,9687.58,634.16123836,36015,7478.183964500001,23409.098190300003
江苏,2016,0.8575633286391552,253.7529734775944,9.087173977863513,0.44775060949742657,0.6892972199021596,0.12754672813603676,10.620180346671088,0.30675298190798245,78261.2,107.6,76159.6051084741,8381.0,5777.0,35041.5,9981.96,653.1168446466667,40952,7411.357425,24160.6695358
江苏,2017,0.7915603952466865,297.6881832498806,9.674792528323316,0.45223429107104257,0.7017689659266295,0.12276816521004384,10.633906432771306,0.29026083217957843,86512.9,107.0,81490.77746606729,8423.0,5911.0,39124.1,10621.03,645.0487202,41518,7171.194262500002,24706.0349433
江苏,2018,0.7431532708094201,334.0213950577423,10.275595311551225,0.4507925094402411,0.7119346436182808,0.12473583910340982,10.645900974398991,0.261783557940262,93456.3,106.5,86787.67800136165,8446.0,6013.0,42129.4,11657.35,644.9654677266666,42019,6697.257354500001,25583.1856179
江苏,2019,0.6919750778800987,361.9268959293209,10.862550322522535,0.4435374095149189,0.7246428149722517,0.12594090962359608,10.588652963354416,0.2715552460583003,99836.9,106.0,91994.93868144335,8469.0,6137.0,44281.4,12573.55,636.5820485866667,39681,7376.929667500002,27165.4839101
江苏,2020,0.6577208285947508,381.6125734960462,11.264686369156328,0.43409080911113107,0.7344579450277221,0.1308405360793982,10.735874800187577,0.25555446586525443,104566.6,103.8,95490.7463513382,8477.0,6226.0,45391.4,13681.55,628.0625281333333,45975,6879.6948758857,26920.65995635208
江苏,2021,0.6423671312217614,412.9212849219292,12.24931267128865,0.44701184448975917,0.7394473838918283,0.12169270407465133,11.139162491592577,0.2356696961639272,119853.2,109.1,104180.40426930996,8505.0,6289.0,53575.8,14585.26,669.2206741999998,68813,6644.282578298291,28193.19872876935
江苏,2022,0.6280450516297211,424.0648274777478,12.565270133245019,0.4442961942516389,0.7442160892542572,0.11962803116786365,11.399185495097322,0.2352292633501791,124564.2,102.7,106993.27518458133,8515.0,6337.0,55343.4,14901.37,671.9659703733334,89248,6694.457859500001,28459.290158699994
浙江,2011,1.232100358234605,77.39,5.8084560143626565,0.5029193493050125,0.6229802513464991,0.11877038058176806,9.119977931895791,0.23261346296829322,32353.1,108.7,32353.1,5570.0,3470.0,16271.0,3842.59,398.622661,9135,2809.9333045000003,12079.839527099999
浙江,2012,1.096805437552047,146.35,6.151926314863676,0.48717069056706264,0.629023746701847,0.11898394728190174,9.356343666096025,0.2186528433920706,34978.5,108.1,34973.7011,5685.0,3576.0,17040.5,4161.88,383.59345537800004,11571,2764.2686046550007,12642.271473681856
浙江,2013,1.0232221394955592,205.77,6.548499013018671,0.4776755305299645,0.6393499308437067,0.12440976979904426,9.318297513481275,0.21453101239036143,38023.3,108.3,37876.518291299995,5784.0,3698.0,18162.8,4730.47,387.56092082666663,11139,2773.1497810000005,12926.5682854
