province,year,carbon_intensity,digital_finance,gdp_per_capita,industrial_structure,urbanization,government_intervention,innovation,energy_structure,gdp,population,urban_population,secondary_industry,fiscal_expenditure,carbon_emissions_mt,raw_coal_emissions_mt
湖南,2015,0.8694931816357011,206.38,4.355510204081633,0.4396026614187986,0.5079365079365079,0.19883311293675834,6776,0.7514703998250952,28811.7,6615.0,3360.0,12665.7,5728.72,250.51576701333332,188.25518359999998
湖南,2016,0.8502971936879967,217.6911117493732,4.713207547169811,0.4144755804643715,0.5269433962264151,0.20301553242594075,6967,0.7462675801211172,31225.0,6625.0,3491.0,12942.0,6339.16,265.50529872907697,198.13799679188259
湖南,2017,0.8086322821402069,261.117691792446,5.145137946630483,0.3943951687339024,0.5462083521785014,0.20128488002414463,7909,0.7681580896382929,34127.7,6633.0,3623.0,13459.8,6869.39,275.9675993519634,211.98674392027
湖南,2018,0.6640752676500324,286.8088004631649,5.520617935192163,0.3795895635461229,0.560964581763376,0.20419745941090872,8261,0.7223082543409917,36629.3,6635.0,3722.0,13904.1,7479.61,243.24612201333332,175.69868176666665
湖南,2019,0.6062046334441086,310.8504202587501,6.013659638554216,0.37501972166778946,0.5745481927710844,0.20120909475666593,8479,0.7034233534395942,39930.7,6640.0,3815.0,14974.8,8034.42,242.06175356666665,170.2718904333333
湖南,2020,0.5459666372457549,332.0348487480758,6.2744469525959365,0.3736128000153501,0.5876598946576373,0.2015443580205163,11537,0.6933358424620024,41693.7,6645.0,3905.0,15577.3,8403.13,227.6336918333333,157.8265975
湖南,2021,0.4765423851249892,362.364784941951,6.909075807913017,0.3786924696023553,0.5971005738447599,0.18197058482817108,16564,0.6912244741810967,45751.9,6622.0,3954.0,17325.9,8325.5,218.02719549999995,150.70573356666662
湖南,2022,0.4508737613615275,371.94909802507,7.26194730466384,0.36531624612420477,0.6031193216232587,0.1874896523826106,20423,0.6881807794435868,47957.9,6604.0,3983.0,17519.8,8991.61,216.22958760000003,148.80504613333335
广东,2011,0.9282823306597345,69.48,5.0213462253625885,0.4843787030453845,0.6656749721085905,0.12428160919540229,18242,0.6246579211228441,54009.6,10756.0,7160.0,26161.1,6712.4,501.36157366,313.1794783333333
广东,2012,0.8382985059090742,127.06,5.258364278597953,0.4710167144353194,0.6714971469975546,0.12725052361792427,22153,0.6127391140078601,58057.6,11041.0,7414.0,27346.1,7387.86,486.6959933666667,298.2176717666667
广东,2013,0.773382381729883,184.78,5.657258207630878,0.46022965213395167,0.6809228039041704,0.13192214852260054,20084,0.5889024993330737,63757.3,11270.0,7674.0,29343.0,8411.0,493.0877252666667,290.38059380000004
